trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.4, 'e': 0.37999999999999945}",25,0,-71.01156803684188,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.4, 'e': 0.37499999999999944}",25,17,3.710312910975481,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.4, 'e': 0.36999999999999944}",30,3,2.7939814914941854,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.36499999999999944}",20,16,7.974614197717413,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.4, 'e': 0.35999999999999943}",25,7,-28.226146441828412,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.4, 'e': 0.3549999999999994}",30,0,-23.406156554226925,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.4, 'e': 0.3499999999999994}",20,14,9.620478534740663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.3449999999999994}",25,4,24.530593479893547,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.3399999999999994}",20,12,12.529092903323768,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4, 'e': 0.3349999999999994}",20,14,-14.800817431950694,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.3299999999999994}",25,15,-1.7891481991840492,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.4, 'e': 0.3249999999999994}",20,16,8.58645070153108,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.4, 'e': 0.3199999999999994}",20,10,12.554232777033278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': 0.3149999999999994}",20,5,20.75219937055331,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': 0.3099999999999994}",30,0,-31.13505960838362,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
139,False,"{'a': 0.4, 'e': 0.3049999999999994}",25,0,-6.922715068433458,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
140,False,"{'a': 0.4, 'e': 0.2999999999999994}",25,9,-27.617669760757202,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.4, 'e': 0.2949999999999994}",20,11,-24.7017057661856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.4, 'e': 0.28999999999999937}",30,4,-76.40978321428477,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 2}",1
143,False,"{'a': 0.4, 'e': 0.28499999999999936}",20,0,16.21409005466887,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.4, 'e': 0.27999999999999936}",20,6,-40.17898522693135,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
145,False,"{'a': 0.4, 'e': 0.27499999999999936}",20,0,-10.43525302716192,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.4, 'e': 0.26999999999999935}",25,11,-28.82716042579091,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.4, 'e': 0.26499999999999935}",20,0,-74.79667177685445,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
148,False,"{'a': 0.4, 'e': 0.25999999999999934}",25,3,-12.014753814000857,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.4, 'e': 0.25499999999999934}",25,3,-21.630874763955905,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.4, 'e': 0.24999999999999933}",25,6,-23.332982347345947,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
151,False,"{'a': 0.4, 'e': 0.24499999999999933}",35,0,-44.882367467127686,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",1
152,False,"{'a': 0.4, 'e': 0.23999999999999932}",20,13,-29.182952983679044,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
